time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt,loop_pose_x,loop_pose_y,loop_pose_z,loop_lat,loop_lon,loop_alt,loop_roll,loop_pitch,loop_yaw
1573538250,31.50770499,120.401719,12.5185,-1.17130027,1.721502143,11.71606201,0,0,0,0.40658,0.12426,0.02599,-4.186978611,-5.35217308,5.214982732,0.654216551,0.172706467,-0.019203684,0.40658,0.12426,0.02599,-1.17130027,-1.721502143,8.652729503,0.891885089,0.073511537,-0.008797232,31.50770499,120.401719,12.51850001,,,,,,,,,
1573538250,31.50770582,120.4017192,12.5203,-1.1958081,1.692288959,10.99068157,0.092029113,0.010449421,-0.0018,0.4821,0.15266,0.02887,-5.466711426,-5.679635172,5.943303576,0.748618578,0.181965039,-0.013908832,0.496491731,0.146495752,0.02779,-1.1958081,-1.692288959,9.378109936,0.973923049,0.075270052,-0.002593172,31.50770572,120.401719,12.52138001,,,,,,,,,
1573538250,31.50770673,120.4017193,12.5228,-1.25554185,1.64371364,10.31066565,0.192928503,0.021848785,-0.004299998,0.56625,0.18033,0.02361,-6.480874355,-4.816614239,6.568925173,0.851611028,0.182666458,-0.013788511,0.595049735,0.17092836,0.030289998,-1.25554185,-1.64371364,10.05812586,1.049823605,0.073762731,-0.004500773,31.50770652,120.4017191,12.51612001,,,,,,,,,
1573538250,31.50770771,120.4017194,12.5257,-1.33424157,1.631027758,9.6653317,0.301589384,0.034198098,-0.007199994,0.6569,0.20858,0.02118,-6.510546517,-4.132915286,7.215535962,0.936377508,0.165973361,-0.008915539,0.701214557,0.197171893,0.033189994,-1.33424157,-1.631027758,10.70345981,1.13343812,0.056761522,0.006664648,31.50770737,120.4017191,12.51369001,,,,,,,,,
1573538250,31.50770859,120.4017197,12.4958,-1.388521057,1.606298199,9.193725371,0.399162418,0.057946775,0.022700013,0.75471,0.23375,0.01795,-5.633020031,-3.172938009,7.778181515,1.029191486,0.130242944,-0.008716464,0.800952516,0.208869594,0.003289987,-1.388521057,-1.606298199,11.17506614,1.208674502,0.038959434,-0.007242265,31.50770828,120.4017192,12.51046002,,,,,,,,,
1573538250,31.50770982,120.4017199,12.4979,-1.456304827,1.54808311,8.745210007,0.535542911,0.076945717,0.020600023,0.84939,0.2569,0.01614,-4.430961796,-2.523494535,8.230137226,1.109442374,0.092160826,-0.011771018,0.93541817,0.238527418,0.005389977,-1.456304827,-1.54808311,11.6235815,1.304848404,0.013588156,-0.013915963,31.50770915,120.4017194,12.50865002,,,,,,,,,
1573538250,31.50771102,120.4017201,12.4993,-1.475931707,1.498621662,8.389559024,0.668597051,0.096894604,0.019200035,0.96158,0.27941,0.01135,-3.306506745,-1.786729465,8.582804686,1.19036796,0.062018228,-0.0181485,1.067096102,0.26613692,0.006789965,-1.475931707,-1.498621662,11.97923248,1.395709238,-0.011854096,-0.024223385,31.50771017,120.4017195,12.50386003,,,,,,,,,
1573538250,31.5077123,120.4017203,12.5007,-1.475495875,1.391246152,8.10350486,0.810521467,0.118743386,0.017800053,1.06869,0.29827,0.00544,-2.26833444,-1.052203864,8.910369958,1.263053777,0.041565686,-0.014532911,1.207750947,0.295052725,0.008189947,-1.475495875,-1.391246152,12.26528665,1.470549549,-0.011074852,-0.021102422,31.50771113,120.4017197,12.49795004,,,,,,,,,
1573538251,31.50771365,120.4017205,12.5032,-1.528864712,1.31216857,7.931610769,0.960207375,0.141542114,0.015300073,1.19637,0.32222,-0.00884,-1.337580236,-0.152105095,9.10945305,1.325833437,0.028191908,-0.006873546,1.35601261,0.325779459,0.010689927,-1.528864712,-1.31216857,12.43718074,1.549131876,-0.015949345,-1.91E-08,31.50771229,120.40172,12.48367006,,,,,,,,,
1573538251,31.50771506,120.4017208,12.507,-1.596136489,1.188486784,7.794565838,1.11654599,0.16529079,0.011500099,1.33856,0.34871,-0.02223,-0.98882324,0.552607843,9.258996213,1.392007621,0.005656863,0.007944634,1.510841639,0.357931194,0.014489901,-1.596136489,-1.188486784,12.57422567,1.616575783,-0.032134646,0.007179197,31.50771357,120.4017202,12.47028008,,,,,,,,,
1573538251,31.50771653,120.4017211,12.511,-1.681942558,1.113319032,7.748266096,1.279537313,0.190939356,0.007500131,1.50198,0.38263,-0.02852,-1.024566616,0.811888106,9.37974408,1.481695523,-0.004666124,0.002732386,1.672568671,0.390617388,0.018489869,-1.681942558,-1.113319032,12.62052541,1.697032843,-0.025840129,-0.004934464,31.50771506,120.4017205,12.4639901,,,,,,,,,
1573538251,31.50771809,120.4017213,12.5117,-1.850176639,1.009080116,7.702576564,1.452507696,0.215637975,0.00680017,1.65095,0.40904,-0.03238,-0.717893621,0.902004287,9.423704949,1.557272458,0.033445,-0.043314736,1.84332015,0.427667457,0.01918983,-1.850176639,-1.009080116,12.66621494,1.783860213,0.001275885,-0.041001856,31.50771641,120.4017208,12.46013013,,,,,,,,,
1573538251,31.50771971,120.4017216,12.5103,-2.083436124,0.965839444,7.621261186,1.632130784,0.238436702,0.008200213,1.81305,0.44189,-0.04021,-0.544566609,0.988174695,9.502887417,1.624234676,0.050690044,-0.053817103,2.019647073,0.468814171,0.017789787,-2.083436124,-0.965839444,12.74753032,1.845267189,0.014162797,-0.042723837,31.50771788,120.4017211,12.45230017,1.82454,0.44597,-0.04102,31.50771799,120.4017211,12.45149017,-0.006008566,0.018019858,0.165823046
