time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt,loop_pose_x,loop_pose_y,loop_pose_z,loop_lat,loop_lon,loop_alt,loop_roll,loop_pitch,loop_yaw
1573525413,31.50808841,120.4019989,12.3467,0.231347215,1.629381557,170.411289,0,0,0,0.70299,0.07128,0.01677,-0.379570759,0.597838025,1.2711814,0.738608276,0.078788542,0.025960583,0.70299,0.07128,0.01677,0.231347215,-1.629381557,4.135970375,0.75051049,-0.014093596,-0.02649424,31.50808841,120.4019989,12.34670001,,,,,,,,,
1573525413,31.50808743,120.4019991,12.3457,0.214528926,1.651689072,170.1693466,-0.108660884,0.016149037,0.000999999,0.80605,0.08433,0.019,-0.395796183,0.586171008,1.486584848,0.802551384,0.090801692,0.02813981,0.812693742,0.077030495,0.015770001,0.214528926,-1.651689072,4.377912835,0.818193398,-0.01301792,-0.033548584,31.5080875,120.4019991,12.34893001,,,,,,,,,
1573525413,31.50808644,120.4019993,12.3446,0.209872802,1.663563435,169.9161304,-0.218430553,0.033248017,0.002100003,0.92276,0.09983,0.0213,-0.406234338,0.565484468,1.751354777,0.872462582,0.087417136,0.02748248,0.923591519,0.083621272,0.014669997,0.209872802,-1.663563435,4.631129032,0.880335189,-0.024511422,-0.029879688,31.50808646,120.4019994,12.35123001,,,,,,,,,
1573525413,31.50808539,120.4019994,12.3438,0.214515894,1.699298157,169.6630909,-0.334852929,0.05129694,0.002900009,1.04814,0.11589,0.02461,-0.423342141,0.562161427,2.014869209,0.934423977,0.098838312,0.036751035,1.041202167,0.090525523,0.013869991,0.214515894,-1.699298157,4.884168535,0.932822622,-0.01903479,-0.035206417,31.50808535,120.4019997,12.35454002,,,,,,,,,
1573525413,31.50808419,120.4019997,12.3426,0.194061407,1.744581126,169.341223,-0.467907073,0.073145634,0.004100016,1.17635,0.13512,0.02932,-0.525430537,0.54469899,2.309032254,0.995034921,0.111049735,0.039601222,1.175730396,0.099631921,0.012669984,0.194061407,-1.744581126,5.206036361,1.00042866,-0.017410682,-0.039816772,31.50808421,120.402,12.35925002,,,,,,,,,
1573525413,31.50808265,120.4019998,12.306,0.16375654,1.776965095,169.0637429,-0.638659887,0.087394787,0.040700034,1.31486,0.15729,0.03417,-0.663364079,0.465602168,2.613734007,1.064002598,0.118537065,0.038972531,1.34706456,0.097590863,-0.023930034,0.16375654,-1.776965095,5.48351648,1.061823089,-0.02202182,-0.042883875,31.50808299,120.4020004,12.36410004,,,,,,,,,
1573525414,31.50808128,120.4020001,12.3046,0.153707498,1.823099505,168.706703,-0.790563367,0.113043257,0.042100049,1.46374,0.18234,0.04026,-0.859930145,0.349895743,2.937061189,1.135509524,0.127734861,0.04487723,1.500717902,0.108688691,-0.025330049,0.153707498,-1.823099505,5.840556441,1.129558138,-0.025676697,-0.043788921,31.50808168,120.4020008,12.37019005,,,,,,,,,
1573525414,31.50807983,120.4020004,12.3033,0.109531148,1.865656795,168.3719029,-0.951337123,0.142491503,0.043400073,1.63,0.2107,0.04531,-1.114207514,0.364326848,3.275535418,1.211372173,0.135299932,0.047223491,1.663562453,0.122726206,-0.026630073,0.109531148,-1.865656795,6.175356496,1.201559538,-0.023974186,-0.050499147,31.50808021,120.4020013,12.37524007,,,,,,,,,
1573525414,31.50807841,120.4020007,12.3017,0.065690632,1.908098165,168.0724599,-1.108784525,0.171939748,0.045000099,1.80901,0.23891,0.04938,-1.340435059,0.361740132,3.576448645,1.296148861,0.134953682,0.04695393,1.823095702,0.137079806,-0.028230099,0.065690632,-1.908098165,6.474799537,1.267341619,-0.031603882,-0.054892223,31.50807862,120.4020018,12.3793101,,,,,,,,,
1573525414,31.5080769,120.402001,12.3,0.034816873,1.939899209,167.806211,-1.276210988,0.202337939,0.04670013,1.99194,0.26789,0.05348,-1.387880205,0.325447335,3.863423063,1.38325143,0.129712092,0.046933196,1.992653125,0.151430795,-0.02993013,0.034816873,-1.939899209,6.741048402,1.352662638,-0.034355334,-0.056300612,31.50807701,120.4020022,12.38341014,1.97961,0.26774,0.05619,31.50807712,120.4020022,12.38612014,-0.023257102,0.003465524,0.067377316
