time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt
1571105672,31.51171332,120.4014803,736.2966034,1.329563747,0.888013564,-133.4901876,380.8766204,-49.71621536,-0.361588976,-403.6219051,-86.39032232,-2.61161974,1.152750064,-1.861555254,-47.22858709,11.94541572,0.240284656,-0.388385565,-374.8674759,-78.06027991,0.373449289,1.329563747,-0.888013564,-42.21669441,1.129563747,-1.588013564,-44.22204669,11.64384928,-0.172137977,-0.146221261,31.51197755,120.4014155,9.867605909
1571105672,31.51170406,120.4014685,736.4799499,1.390821246,0.624964962,-133.5184887,379.8498908,-50.83046093,-0.364841674,-402.5673632,-87.49570786,-2.617313193,1.227671366,-1.66387157,-47.19446423,11.88550727,0.231173124,-0.433344801,-373.7602159,-79.09453915,0.376701987,1.390821246,-0.624964962,-42.18839331,1.190821246,-1.324964962,-44.1937456,11.65455936,-0.17124897,-0.107303555,31.51196881,120.401403,9.861860422
1571105672,31.51169481,120.4014568,736.4398428,1.389086176,0.47643594,-133.5564124,378.8242699,-51.94090705,-0.364193975,-401.454438,-88.64434906,-2.628023707,1.20282113,-1.509632994,-47.16832405,11.84573423,0.22502704,-0.318447985,-372.6543459,-80.1250926,0.376054289,1.389086176,-0.47643594,-42.15046965,1.189086176,-1.17643594,-44.15582193,11.57554163,-0.153388792,-0.126277059,31.51195958,120.4013901,9.851095143
1571105673,31.51168468,120.4014438,735.1105807,1.270216179,0.839295156,-133.5679347,377.7010753,-53.1757915,-0.341050686,-400.3333353,-89.79173315,-2.623720495,1.104966987,-1.85844868,-47.14780046,11.81961087,0.255207901,-0.293749659,-371.4418607,-81.27243097,0.352910999,1.270216179,-0.839295156,-42.13894731,1.070216179,-1.539295156,-44.14429959,11.52322954,-0.146508404,-0.17870726,31.51195027,120.4013772,9.855343457
1571105673,31.51167548,120.4014322,735.311116,1.250437162,0.997667338,-133.6024654,376.6809988,-54.27673902,-0.344601986,-399.2382459,-90.9202202,-2.616897036,1.143196776,-2.068189255,-47.12511914,11.80746221,0.242437144,-0.410847859,-370.3422306,-82.29392751,0.356462299,1.250437162,-0.997667338,-42.10441669,1.050437162,-1.697667338,-44.10976897,11.57251466,-0.160813676,-0.122235962,31.51194118,120.4013645,9.862113793
1571105673,31.51166625,120.4014206,735.8898033,1.174993687,0.793292288,-133.6307989,375.6575964,-55.37863673,-0.354753121,-398.171657,-92.03064753,-2.611288452,0.981813647,-1.894382436,-47.09038261,11.76255774,0.217852061,-0.388006125,-369.2392128,-83.31612261,0.366613434,1.174993687,-0.793292288,-42.07608311,0.974993687,-1.493292288,-44.08143539,11.54750641,-0.147688196,-0.099578879,31.51193234,120.401352,9.867671171
1571105673,31.51165634,120.4014082,736.124716,1.147720581,0.73042982,-133.6677334,374.5587968,-56.56127713,-0.358907632,-397.0557689,-93.1707199,-2.610206936,1.010182713,-1.867068811,-47.06533897,11.73879406,0.244346483,-0.372527997,-368.0549651,-84.4131897,0.370767945,1.147720581,-0.73042982,-42.03914862,0.947720581,-1.43042982,-44.0445009,11.50345994,-0.151141981,-0.127655627,31.51192307,120.4013391,9.868699196
1571105673,31.51164717,120.4013967,736.1820118,1.161061764,0.762305021,-133.6929061,373.5420468,-57.65557592,-0.359957707,-395.9868405,-94.2819412,-2.608196891,1.019756011,-1.911048397,-47.04815706,11.68900427,0.206503734,-0.388755115,-366.9591499,-85.42830519,0.37181802,1.161061764,-0.762305021,-42.0139759,0.961061764,-1.462305021,-44.01932818,11.48811418,-0.156002851,-0.148524614,31.51191421,120.4013266,9.870658658
1571105673,31.5116387,120.4013861,736.2679555,1.121762577,0.729503845,-133.7296068,372.6029115,-58.66438282,-0.361503668,-394.8608682,-95.44462972,-2.612031768,0.952563808,-1.888460666,-47.01747157,11.71089991,0.220850206,-0.404300775,-365.9471314,-86.36397883,0.373363982,1.121762577,-0.729503845,-41.97727521,0.921762577,-1.429503845,-43.98262749,11.47796307,-0.147308921,-0.127887489,31.51190487,120.4013135,9.866770785
1571105673,31.51162813,120.4013728,736.382547,1.151628111,0.654760626,-133.7707878,371.4309328,-59.92301692,-0.363560608,-393.7638276,-96.58156504,-2.617177732,1.042010899,-1.850970344,-46.98695897,11.69025281,0.219096576,-0.38693271,-364.6842211,-87.53134827,0.375420921,1.151628111,-0.654760626,-41.93609428,0.951628111,-1.354760626,-43.94144656,11.4463248,-0.157796121,-0.117462808,31.51189577,120.4013007,9.861573646
1571105673,31.51161885,120.4013609,735.8898033,1.112236556,0.70920235,-133.8066031,370.4019861,-61.05436274,-0.355009963,-392.6528224,-97.72989538,-2.616540207,0.96343308,-1.892090105,-46.96647668,11.68871404,0.190934877,-0.37026949,-363.5734702,-88.58249382,0.366870276,1.112236556,-0.70920235,-41.90027892,0.912236556,-1.40920235,-43.9056312,11.41233858,-0.156068926,-0.127061816,31.51188655,120.4012878,9.862159695
1571105674,31.51160972,120.4013495,736.015854,1.161639224,0.738229562,-133.8421237,369.3896718,-62.13916331,-0.357258438,-391.4753143,-98.92675281,-2.623091213,0.97913233,-1.95685571,-46.9269946,11.76367055,0.213737598,-0.409503383,-362.4827892,-89.5884698,0.369118752,1.161639224,-0.738229562,-41.86475837,0.961639224,-1.438229562,-43.87011065,11.40316821,-0.162533986,-0.11705946,31.51187677,120.4012743,9.855554258
