time,ins1000_lon,ins1000_lat,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lon,algo_lat,algo_alt
1571106970,120.4019978,31.50813519,718.5864779,0.931751468,2.061287868,-179.8113156,0,0,0,1.028202147,0.149625858,0.016257025,2.071354682,-2.265946962,1.884967735,0.834248852,0.082605878,-0.023138248,1.028202147,0.149625858,0.016257025,0.931751468,-2.061287868,5.150827167,0.939021332,0.015193993,0.012487626,120.4019978,31.50813519,12.54170001
1571106970,120.4019978,31.50813424,718.8672272,0.941153994,2.062210927,-179.9257532,-0.105334534,0.000949942,-0.004899998,1.069139093,0.15292309,0.01619171,2.146658334,-2.32540601,2.007119278,0.812626027,0.077641476,-0.025763825,1.13299121,0.160373818,0.021157023,0.941153994,-2.062210927,5.26526477,0.981510036,0.017048773,0.01070928,120.4019978,31.50813482,12.54163469
1571106970,120.4019978,31.50813352,719.073492,0.928038674,2.074424031,179.982418,-0.185167024,0.001899885,-0.008499998,1.084845173,0.153236362,0.018527313,2.142523182,-2.468312845,2.13617373,0.80538828,0.059924267,-0.034661289,1.21238889,0.168748628,0.024757024,0.928038674,-2.074424031,5.357093504,1.015679874,0.016624788,0.008272223,120.4019978,31.50813468,12.54397029
1571106970,120.4019979,31.5081323,719.4229963,0.925353615,2.064167128,179.8332879,-0.320438743,0.004749713,-0.014599992,1.196401269,0.168062921,0.019012782,2.198886699,-2.477995797,2.243089569,0.870071865,0.084433685,-0.028993678,1.346808435,0.184174101,0.030857018,0.925353615,-2.064167128,5.506223628,1.064856006,0.016687706,0.011184637,120.4019978,31.50813366,12.54445576
1571106970,120.4019979,31.50813132,719.7094752,0.923492843,2.065003043,179.7301085,-0.429099632,0.006649599,-0.019599985,1.27123176,0.178277949,0.020879253,2.276293462,-2.519758137,2.328892177,0.862352819,0.065655732,-0.03373262,1.45482102,0.196177423,0.03585701,0.923492843,-2.065003043,5.609403068,1.105368991,0.01396393,0.010152904,120.4019979,31.50813298,12.54632224
1571106970,120.4019979,31.50813041,719.9730358,0.910613634,2.054152234,179.6495606,-0.529999029,0.008549486,-0.024199978,1.403636265,0.194183041,0.022551891,2.433365275,-2.450936601,2.417442313,0.957184617,0.086545508,-0.03043483,1.555105793,0.207458484,0.040457003,0.910613634,-2.054152234,5.689950919,1.141945393,0.017735276,0.013196532,120.4019979,31.50813178,12.54799488
1571106970,120.4019979,31.50812937,720.2595147,0.897459698,2.066304503,179.5577295,-0.645312626,0.011399313,-0.029199967,1.483574453,0.204071335,0.025096803,2.451030466,-2.514580176,2.497534296,0.958689199,0.071848421,-0.022213611,1.66965382,0.221026708,0.045456992,0.897459698,-2.066304503,5.781782066,1.177941054,0.018299877,0.005245767,120.4019979,31.50813106,12.5505398
1571106970,120.401998,31.50812829,720.540264,0.872666686,2.067007406,179.4541366,-0.765061362,0.014249143,-0.034099953,1.549923013,0.212317762,0.026978808,2.458744951,-2.567784333,2.586145364,0.974821205,0.073337024,-0.036657318,1.78861774,0.235007657,0.050356978,0.872666686,-2.067007406,5.885374911,1.222279709,0.018627324,0.003933998,120.4019979,31.50813045,12.55242181
1571106970,120.401998,31.50812705,720.8611204,0.836802825,2.033125059,179.3615532,-0.90255065,0.017098973,-0.039699935,1.622280158,0.21953095,0.02837492,2.545966429,-2.598361825,2.665643894,0.984091209,0.063429327,-0.043936464,1.925245233,0.250639492,0.055956961,0.836802825,-2.033125059,5.977958337,1.274160489,0.018071007,0.010440186,120.401998,31.5081298,12.55381793
1571106970,120.4019978,31.50812616,720.5173457,0.812447181,2.033572248,179.2808969,-1.001232477,-0.003799772,-0.033699922,1.695836755,0.227759895,0.029676612,2.665542758,-2.597159515,2.730590386,0.981172853,0.060722385,-0.035361209,2.025443635,0.239014488,0.049956947,0.812447181,-2.033572248,6.058614636,1.305523653,0.009863426,0.01614541,120.401998,31.50812913,12.55511963
1571106971,120.4019978,31.50812485,720.9126866,0.765038957,2.022438434,179.1882937,-1.146483259,-0.000949945,-0.040599898,1.8221122,0.242768839,0.031158142,2.97620437,-2.537641977,2.801176731,1.029252233,0.066149386,-0.028005796,2.169798942,0.255368584,0.056856923,0.765038957,-2.022438434,6.151217797,1.339079405,0.010662878,0.015811685,120.401998,31.50812798,12.55660117
1571106971,120.4019978,31.50812375,721.2278134,0.741096591,2.022651707,179.1305684,-1.268449564,0.001899885,-0.046099874,1.934531315,0.255917253,0.032254929,3.199140163,-2.513466456,2.857862403,1.055372056,0.060656757,-0.03403014,2.290970809,0.269555893,0.062356899,0.741096591,-2.022651707,6.208943157,1.361867676,0.01269045,0.010376719,120.401998,31.50812696,12.55769797
