time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt,loop_pose_x,loop_pose_y,loop_pose_z,loop_lat,loop_lon,loop_alt,loop_roll,loop_pitch,loop_yaw
1573523577,31.50769979,120.4017282,12.4939,-0.865723385,0.410972399,-1.733478667,0,0,0,0.37784,0.01044,0.00382,-1.489864729,1.168885417,-0.004884094,0.621970916,0.01687509,0.012063136,0.37784,0.01044,0.00382,-0.865723385,-0.410972399,9.735398423,0.616754713,-0.008070389,-0.026249439,31.50769979,120.4017282,12.49390001,,,,,,,,,
1573523577,31.50770038,120.4017282,12.4918,-0.866157962,0.43384435,-1.733826792,0.065418284,-0.000949947,0.0021,0.44446,0.01397,0.00483,-1.469295336,1.133266461,-0.012239875,0.70793307,0.025840981,0.016332487,0.442489094,0.020487334,0.00172,-0.866157962,-0.43384435,9.735746548,0.705726491,-0.006442904,-0.027745077,31.50770039,120.4017283,12.49491001,,,,,,,,,
1573523577,31.50770106,120.4017282,12.4895,-0.889334598,0.444778998,-1.756916993,0.140815631,-0.00284984,0.004400001,0.51887,0.01801,0.00626,-1.463557783,1.100032802,-0.011758698,0.795531613,0.034055941,0.021083057,0.51688785,0.032864512,-0.000580001,-0.889334598,-0.444778998,9.758836748,0.795820965,-0.001362342,-0.028603235,31.50770106,120.4017283,12.49634001,,,,,,,,,
1573523577,31.50770182,120.4017282,12.4871,-0.935387587,0.455442072,-1.768641534,0.225083253,-0.005699683,0.006800004,0.60524,0.02285,0.00776,-1.478457974,1.063347248,-0.012574477,0.884146252,0.047327049,0.026852291,0.599938277,0.04741719,-0.002980004,-0.935387587,-0.455442072,9.770561289,0.889937319,0.005582124,-0.033888467,31.50770184,120.4017284,12.49784001,,,,,,,,,
1573523577,31.50770267,120.4017281,12.4842,-1.015816349,0.465563126,-1.780509624,0.319329934,-0.009499472,0.009700008,0.69925,0.02839,0.00886,-1.530102829,1.035722346,-0.021853306,0.976634151,0.059913691,0.028847986,0.692738361,0.064299712,-0.005880008,-1.015816349,-0.465563126,9.78242938,0.990567575,1.60E-05,-0.039656134,31.50770268,120.4017285,12.49894001,,,,,,,,,
1573523577,31.50770361,120.4017281,12.4809,-1.08465327,0.46428195,-1.803694452,0.423555676,-0.012349312,0.013000014,0.80278,0.03414,0.0097,-1.592048576,0.989752833,-0.030942969,1.075402669,0.064899617,0.029744811,0.795552585,0.081630682,-0.009180014,-1.08465327,-0.46428195,9.805614207,1.091355057,-0.004538013,-0.043638576,31.50770361,120.4017286,12.49978002,,,,,,,,,
1573523577,31.50770464,120.4017281,12.4773,-1.142214016,0.474612726,-1.826947778,0.537760479,-0.014249208,0.016600023,0.91713,0.04148,0.01163,-1.634406838,0.939381569,-0.026006467,1.178498221,0.06247849,0.028117951,0.908380944,0.099410105,-0.012780023,-1.142214016,-0.474612726,9.828867534,1.197433391,-0.013098568,-0.044990473,31.50770465,120.4017287,12.50171003,,,,,,,,,
1573523577,31.50770649,120.4017287,12.478,-1.15231606,0.477573874,-1.517474143,0.74288561,0.047497358,0.015900044,1.03791,0.0478,0.01455,-1.643692211,0.855426473,-0.046653156,1.280184779,0.064002495,0.033695715,1.120104364,0.066819447,-0.012080044,-1.15231606,-0.477573874,9.519393899,1.297848545,-0.041721178,-0.02866354,31.50770573,120.4017288,12.50463004,,,,,,,,,
1573523578,31.50770771,120.4017287,12.4764,-1.186744927,0.465377481,-1.540562361,0.878157317,0.048447304,0.01750006,1.16642,0.05639,0.019,-1.651928943,0.804509612,-0.080362539,1.372636739,0.071444352,0.050348281,1.254191224,0.084709421,-0.01368006,-1.186744927,-0.465377481,9.542482117,1.395956834,-0.054070194,-0.028765289,31.50770689,120.4017289,12.50908005,,,,,,,,,
1573523578,31.50770901,120.4017287,12.4747,-1.278657083,0.475351866,-1.563965624,1.022299301,0.04939725,0.019200082,1.30177,0.06486,0.02492,-1.644954994,0.709430348,-0.077801738,1.463449805,0.082840274,0.062077984,1.397061994,0.103834195,-0.015380082,-1.278657083,-0.475351866,9.565885379,1.50025211,-0.032796382,-0.030287039,31.50770811,120.401729,12.51500007,,,,,,,,,
