time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw
1570519589.32,31.50769499,120.40174519,719.1938131820633,-0.7921503031985113,-0.9614109998311771,0.16709097175593596,0.0,0.0,0.0,2.51445396956,0.136043726428,-0.0179719615152,1.0111986928187553,5.788787060020984,0.04261210572081038
1570519589.52,31.50769848,120.40174554,717.1770017432027,-0.6885357648578029,-0.973358872838218,0.10899196450267834,0.38696578956355343,0.03324815218145627,0.035200011931374536,2.95614493267,0.160541401602,-0.02640302897,0.9723749008588785,5.883482875164672,0.012190080527184694
1570519589.72,31.5077015,120.40174571,717.423373595109,-0.8146967515198054,-1.064924001627246,0.11071465884667113,0.721818708672392,0.04939725455778127,0.03090004092880727,3.25275220399,0.170958828138,-0.0251441033181,1.0364759775699732,5.779806676267751,0.027108930413367115
1570519589.92,31.5077045,120.40174584,717.6525567131613,-1.078202403161887,-0.9844678540225628,0.11240647989538952,1.0544540587078595,0.061746567034708294,0.0269000877543234,3.57625770663,0.190836074685,-0.0254420048264,0.9588810377686351,5.771583728285664,-0.012386968469628537
1570519590.12,31.507707640000003,120.40174609,717.8931989871163,-0.9864016332307287,-0.8699552467169458,0.1106320793964474,1.4026123927880232,0.08549524288242699,0.022700154327164324,3.87849287014,0.217909401778,-0.0162325787292,0.6301567826151194,5.567014909116746,-0.03870457796411195
1570519590.32,31.50771094,120.40174634,718.2197849303408,-0.9521729243891122,-0.9271881660491633,0.1223080861716857,1.7685112793321531,0.10924391695884883,0.017000247615490238,3.9995312188,0.220847195538,-0.00507000282329,0.6463272132940026,5.237714937687743,-0.03514054764651809
1570519590.52,31.50771516,120.40174663999998,717.6353679793074,-0.791000223626778,-0.9738195974186059,0.029643472265475118,2.2364183368093498,0.1377423230818136,0.027200394300684883,4.22556448326,0.230539957765,-0.0113355266635,0.6429965998288516,5.416790260438196,-0.07760385630357672
1570519590.72,31.50771875,120.40174692999999,718.0077905461424,-0.6762939523639829,-0.9624504917667182,0.017141208180915597,2.6344719764368616,0.16529078205391762,0.020700548102610794,4.66111738434,0.251336886898,-0.0174757141146,0.717872095595052,5.5106685653636065,-0.031975014093356
1570519590.92,31.507722469999997,120.40174721,718.3401060673183,-0.6305675951748985,-1.0311505106080672,0.02859547094440276,3.046939814440117,0.19188929130354415,0.014900733824466883,5.19675518559,0.274315017138,-0.0144145478725,0.802969725257613,5.390604064393186,-0.04055294622876893
1570519591.119,31.50772629,120.40174746,718.4776159381497,-0.6766700143965493,-1.134146615854665,0.05253915437507142,3.4704954974303592,0.21563795672381525,0.01250095111729399,5.73856185116,0.301157885529,-0.0121091742787,0.8419889952665413,5.378679436941953,-0.058913573394703316
1570519591.319,31.507730160000005,120.40174770999998,719.113599090745,-0.7570102252101625,-1.134038878684768,0.06479393715595397,3.899595108516457,0.23938662052802118,0.0014012004413437307,6.25352061025,0.324649739172,-0.0151012880405,0.8849192368242785,5.37191423078663,-0.06490977147685247
1570519591.519,31.50773464,120.40174789,718.8844159726926,-0.802431185138598,-1.2604025376180545,0.020287077269491638,4.3963305665407155,0.25648565331204765,0.005401524973474459,6.66396388623,0.345470895937,-0.0125784701818,0.8091734519397268,5.379740863798186,-0.0810193685475823
1570519591.719,31.50773858,120.40174816,719.1938131820633,-0.7451143332341345,-1.214565535396458,0.01935859661802073,4.833191668413212,0.28213420847445725,1.8453699368592424e-06,6.98407367256,0.358211622806,-0.012668706139,0.7971955965827088,5.51244730724086,-0.08540501196017729
1570519591.919,31.50774252,120.40174846,719.9271991598307,-0.6534125414703164,-1.1572723782112104,0.018059912949952812,5.270052776044912,0.31063259973329005,-0.01279780666496766,7.27089241209,0.366904054786,-0.0175324917504,0.86610160556551,5.526589885480519,-0.057738628072391766
1570519592.119,31.50774649,120.40174867,720.3168104605196,-0.8482548866495581,-1.1801736820067428,0.02019725395546157,5.710240234932448,0.33058147045521524,-0.019597425592820183,7.63989782507,0.382461485377,-0.0159989265402,0.9616593388396767,5.4754177969973,-0.07844727983047173
1570519592.319,31.50775043,120.40174890000002,720.7064217612086,-0.9967891293807417,-1.0544955320186657,-0.025207389051136123,6.14710134139087,0.3524302318216257,-0.02639701642055492,8.16288357621,0.411253059993,-0.0172006532851,0.9038601217702542,5.465840670168244,-0.07609215105197764
1570519592.519,31.507754819999995,120.40174922,719.932928737782,-0.7099182152101507,-1.134843469135563,-0.06173045112882355,6.633857730390517,0.3828285057543892,-0.012896525828590466,8.52944757304,0.437342833802,-0.0184331752655,0.6942466364470423,5.3357286890086355,-0.06397637303146377
1570519592.719,31.507758739999996,120.40174945,720.454320331351,-0.7676874185418496,-0.9970507424943068,-0.016240226295033,7.068501272093005,0.40467726377524116,-0.021996055369784884,8.91677867692,0.452022409082,-0.0171874088777,0.9401688140810753,5.494574866214573,-0.04142661065582871
1570519592.919,31.50776269,120.40174962000002,720.9699823469688,-1.1107258967750067,-1.1010371074236733,-0.09246963307418359,7.506471168932645,0.4208263401795511,-0.030995551837385893,9.3324436514,0.470754508778,-0.0196490546293,1.189183697339512,5.445947152000449,-0.06261952951585283
1570519593.119,31.507766679999996,120.40174999,721.8637965073729,-0.7328619710846046,-1.0890165494324677,-0.061796296004795824,7.948876212576808,0.45597434412000637,-0.04659501088798512,9.70337680721,0.503446573471,-0.0212154533598,0.8783122589696433,5.475741158642706,-0.0410793274482659
